Book Title,Cleaned?,Author Last Name,Author First/Middle,Book Series,Vol. #,Cover Type,Category,Condition,Date Purchased,Source,Seller,Order #,Thriftbooks Price,Purchase Price,Our Price,Profit Est.,Author Fullname,Pulled to Read
The Walking,FALSE,Little,Bentley,,,Paper,PFH/Vintage,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$7.49,$1.37,,,Bentley Little,FALSE
Dark Reunion,FALSE,Smith,L.J.,The Vampire Diaries,4,Paper,YA/Nostalgia,Acceptable,11/1/2025,eBay,bookcapitol,09-13777-92463,$7.49,$1.37,,,L.J. Smith,FALSE
Carrie,FALSE,King,Stephen,,,Paper,Mainstream,Acceptable,11/1/2025,eBay,bookcapitol,09-13777-92463,$8.89,$1.37,,,Stephen King,TRUE
Different Seasons,FALSE,King,Stephen,,,Paper,Mainstream,Very Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$6.00,$1.37,,,Stephen King,TRUE
Blood Witch,FALSE,Tiernan,Cate,Sweep,3,Paper,YA/Nostalgia,Very Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$7.49,$1.37,,,Cate Tiernan,FALSE
Spellbound,FALSE,Tiernan,Cate,Sweep,6,Paper,YA/Nostalgia,Acceptable,11/1/2025,eBay,bookcapitol,09-13777-92463,$4.99,$1.37,,,Cate Tiernan,FALSE
Origins,FALSE,Tiernan,Cate,Sweep,11,Paper,YA/Nostalgia,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$6.79,$1.37,,,Cate Tiernan,FALSE
Full Circle,FALSE,Tiernan,Cate,Sweep,14,Paper,YA/Nostalgia,Acceptable,11/1/2025,eBay,bookcapitol,09-13777-92463,$6.59,$1.37,,,Cate Tiernan,FALSE
Odd Thomas,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$5.29,$1.37,,,Dean R. Koontz,FALSE
Three,FALSE,Dekker,Ted,,,Paper,Mainstream,Very Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$5.29,$1.37,,,Ted Dekker,FALSE
Dark Times,FALSE,Golden,Christopher,Buffy: The Lost Slayer,2,Paper,YA/Nostalgia,Like New,11/1/2025,eBay,bookcapitol,09-13777-92463,$7.29,$1.37,,,Christopher Golden,FALSE
Vittorio: The Vampire,FALSE,Rice,Anne,,,Paper,Mainstream,Very Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$5.09,$1.37,,,Anne Rice,FALSE
By the Light of the Moon,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$5.49,$1.37,,,Dean R. Koontz,FALSE
Mr. X,FALSE,Straub,Peter,,,Paper,Mainstream,Very Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$5.29,$1.37,,,Peter Straub,FALSE
A Stir of Echoes,FALSE,Matheson,Richard,,,Paper,PFH/Vintage,Acceptable,11/1/2025,eBay,bookcapitol,09-13777-92463,$17.00,$1.37,,,Richard Matheson,FALSE
Hunted Past Reason,FALSE,Matheson,Richard,,,Paper,PFH/Vintage,Acceptable,11/1/2025,eBay,bookcapitol,09-13777-92463,$8.00,$1.37,,,Richard Matheson,FALSE
A Stir of Echoes,FALSE,Matheson,Richard,,,Paper,PFH/Vintage,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$10.00,$1.37,,,Richard Matheson,FALSE
I Am Legend,FALSE,Matheson,Richard,,,Paper,PFH/Vintage,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$5.29,$1.37,,,Richard Matheson,FALSE
Prophecies,FALSE,Golden,Christopher,Buffy: The Lost Slayer,1,Paper,YA/Nostalgia,Very Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$6.29,$1.37,,,Christopher Golden,FALSE
White Shark,FALSE,Benchley,Peter,,,Paper,Mainstream,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$5.79,$1.37,,,Peter Benchley,FALSE
Bite,FALSE,Laymon,Richard,,,Paper,PFH/Vintage,Very Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$7.79,$1.37,,,Richard Laymon,FALSE
Flesh Gothic,FALSE,Lee,Edward,,,Paper,PFH/Vintage,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$8.29,$1.37,,,Edward Lee,FALSE
The Boyfriend,FALSE,Stine,R.L.,,,Paper,YA/Nostalgia,Acceptable,11/1/2025,eBay,bookcapitol,09-13777-92463,$6.19,$1.37,,,R.L. Stine,FALSE
The Husband,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Very Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$5.39,$1.37,,,Dean R. Koontz,FALSE
The Night of the Moonbow,FALSE,Tryon,Thomas,,,Paper,PFH/Vintage,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$4.39,$1.37,,,Thomas Tryon,FALSE
The Other,FALSE,Tryon,Thomas,,,Paper,PFH/Vintage,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$7.09,$1.37,,,Thomas Tryon,TRUE
Mr. Murder,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$5.69,$1.37,,,Dean R. Koontz,FALSE
The Initiation,FALSE,Smith,L.J.,The Vampire Diaries,1,Paper,YA/Nostalgia,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$6.09,$1.37,,,L.J. Smith,FALSE
The Damnation Game,TRUE,Barker,Clive,,,Paper,PFH/Vintage,Very Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$8.39,$1.37,,,Clive Barker,FALSE
Jaws 2,FALSE,Searls,Hank,Jaws,2,Paper,Mainstream,Acceptable,11/1/2025,eBay,bookcapitol,09-13777-92463,$9.69,$1.37,,,Hank Searls,FALSE
The Green Mile,FALSE,King,Stephen,,,Paper,Mainstream,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$4.59,$1.37,,,Stephen King,FALSE
The Mystery of the Flaming Footprints,FALSE,Carey,M.V.,The Three Investigators,,Paper,YA/Nostalgia,Acceptable,11/1/2025,eBay,bookcapitol,09-13777-92463,$5.09,$1.37,,,M.V. Carey,FALSE
Primal Scream,FALSE,Slade,Michael,,,Paper,PFH/Vintage,Acceptable,11/1/2025,eBay,bookcapitol,09-13777-92463,$5.29,$1.37,,,Michael Slade,FALSE
Interview with a Vampire,FALSE,Rice,Anne,The Vampire Chronicles,1,Paper,Mainstream,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$5.29,$1.37,,,Anne Rice,FALSE
Nightmare House,FALSE,Clegg,Douglas,The Harrow,1,Paper,PFH/Vintage,Very Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$8.29,$1.37,,,Douglas Clegg,FALSE
False Memory,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$4.19,$1.37,,,Dean R. Koontz,FALSE
Hannibal,FALSE,Harris,Thomas,,,Paper,Mainstream,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$4.89,$1.37,,,Thomas Harris,FALSE
Last Act,FALSE,Pike,Christopher,,,Paper,YA/Nostalgia,Acceptable,11/1/2025,eBay,bookcapitol,09-13777-92463,$7.29,$1.37,,,Christopher Pike,FALSE
The Infinite,FALSE,Clegg,Douglas,The Harrow,2,Paper,PFH/Vintage,Very Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$6.79,$1.37,,,Douglas Clegg,FALSE
The Box,FALSE,Matheson,Richard,,,Paper,PFH/Vintage,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$6.39,$1.37,,,Richard Matheson,FALSE
Prophecies,FALSE,Golden,Christopher,Buffy: The Lost Slayer,1,Paper,YA/Nostalgia,Very Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$6.29,$1.37,,,Christopher Golden,FALSE
Boy's Life,FALSE,McCammon,Robert R.,,,Paper,PFH/Vintage,Very Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$7.79,$1.37,,,Robert R. McCammon,TRUE
The Tale of the Body Thief,FALSE,Rice,Anne,,,Paper,Mainstream,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$4.09,$1.37,,,Anne Rice,FALSE
The Mummy,FALSE,Rice,Anne,,,Paper,Mainstream,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$4.89,$1.37,,,Anne Rice,FALSE
Full Tilt,FALSE,Shusterman,Neal,,,Paper,YA/Nostalgia,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$5.99,$1.37,,,Neal Shusterman,FALSE
The Manitou,FALSE,Masterton,Graham,,,Paper,PFH/Vintage,Acceptable,11/1/2025,eBay,bookcapitol,09-13777-92463,$9.59,$1.37,,,Graham Masterton,FALSE
Nature's End,FALSE,Strieber,Whitley,,,Paper,Mainstream,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$6.39,$1.37,,,Whitley Strieber,FALSE
Blood Roots,FALSE,Cusick,Richie Tankersley,,,Paper,YA/Nostalgia,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$15.00,$1.37,,,Richie Tankersley Cusick,FALSE
Icebound,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$4.39,$1.37,,,Dean R. Koontz,FALSE
The Attraction,FALSE,Clegg,Douglas,,,Paper,PFH/Vintage,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$7.89,$1.37,,,Douglas Clegg,FALSE
Don't Look Behind You,FALSE,Duncan,Lois,,,Paper,YA/Nostalgia,Very Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$4.79,$1.37,,,Lois Duncan,FALSE
Insomnia,FALSE,King,Stephen,,,Paper,Mainstream,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$5.49,$1.37,,,Stephen King,FALSE
Adam,FALSE,Dekker,Ted,,,Paper,Mainstream,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$5.79,$1.37,,,Ted Dekker,FALSE
The Throat,FALSE,Straub,Peter,,,Paper,Mainstream,Acceptable,11/1/2025,eBay,bookcapitol,09-13777-92463,$6.19,$1.37,,,Peter Straub,FALSE
Winter Moon,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$3.59,$1.37,,,Dean R. Koontz,FALSE
The Bad Place,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$5.69,$1.37,,,Dean R. Koontz,FALSE
The Mystery of the Laughing Shadow,FALSE,Arden,William,The Three Investigators,,Paper,YA/Nostalgia,Acceptable,11/1/2025,eBay,bookcapitol,09-13777-92463,$8.99,$1.37,,,William Arden,FALSE
Misery,FALSE,King,Stephen,,,Paper,Mainstream,Acceptable,11/1/2025,eBay,bookcapitol,09-13777-92463,$6.59,$1.37,,,Stephen King,TRUE
Daughters of Eve,FALSE,Duncan,Lois,,,Paper,YA/Nostalgia,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$5.59,$1.37,,,Lois Duncan,FALSE
The Best Friend,FALSE,Stine,R.L.,Fear Street,,Paper,YA/Nostalgia,Very Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$4.99,$1.37,,,R.L. Stine,FALSE
2012,FALSE,Strieber,Whitley,,,Paper,Mainstream,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$5.39,$1.37,,,Whitley Strieber,FALSE
When the Ghost Dog Howls,TRUE,Stine,R.L.,Goosebumps Horrorland,13,Paper,YA/Nostalgia,Good,11/1/2025,eBay,dua123cars,25-13756-06537,,$1.35,,,R.L. Stine,FALSE
My Hairiest Adventure,TRUE,Stine,R.L.,Goosebumps,26,Paper,YA/Nostalgia,Good,11/1/2025,eBay,dua123cars,25-13756-06537,,$1.35,,,R.L. Stine,FALSE
Trapped in Bat Wing Hall,TRUE,Stine,R.L.,Give Yourself Goosebumps,3,Paper,YA/Nostalgia,Good,11/1/2025,eBay,dua123cars,25-13756-06537,,$1.35,,,R.L. Stine,FALSE
The Barking Ghost,TRUE,Stine,R.L.,Goosebumps,32,Paper,YA/Nostalgia,Acceptable,11/1/2025,eBay,dua123cars,25-13756-06537,,$1.35,,,R.L. Stine,FALSE
Legend of the Lost Legend,TRUE,Stine,R.L.,Goosebumps,47,Paper,YA/Nostalgia,Good,11/1/2025,eBay,dua123cars,25-13756-06537,,$1.35,,,R.L. Stine,FALSE
Diary of a Dummy,FALSE,Stine,R.L.,Goosebumps SlappyWorld,10,Paper,YA/Nostalgia,Acceptable,11/1/2025,eBay,dua123cars,25-13756-06537,,$1.35,,,R.L. Stine,FALSE
Calling all Creeps,TRUE,Stine,R.L.,Goosebumps,50,Paper,YA/Nostalgia,Acceptable,11/1/2025,eBay,dua123cars,25-13756-06537,,$1.35,,,R.L. Stine,FALSE
One Night in Doom House,FALSE,Stine,R.L.,Mostly Ghostly,3,Hard,YA/Nostalgia,Good,11/1/2025,eBay,dua123cars,25-13756-06537,,$1.35,,,R.L. Stine,FALSE
The Cult of the Mummy's Crypt,TRUE,Stine,R.L.,Indiana Jones,,Paper,YA/Nostalgia,Very Good,11/1/2025,eBay,dua123cars,25-13756-06537,,$1.35,,,R.L. Stine,FALSE
The Curse of Horror Island,TRUE,Stine,R.L.,Indiana Jones,,Paper,YA/Nostalgia,Very Good,11/1/2025,eBay,dua123cars,25-13756-06537,,$1.35,,,R.L. Stine,FALSE
The Ape Slaves of Howling Island,FALSE,Stine,R.L.,Indiana Jones,,Paper,YA/Nostalgia,Very Good,11/1/2025,eBay,dua123cars,25-13756-06537,,$1.35,,,R.L. Stine,FALSE
Call Waiting,TRUE,Stine,R.L.,,,Paper,YA/Nostalgia,Very Good,11/1/2025,eBay,dua123cars,25-13756-06537,,$1.35,,,R.L. Stine,FALSE
The Hitchhiker,FALSE,Stine,R.L.,,,Paper,YA/Nostalgia,Good,11/1/2025,eBay,dua123cars,25-13756-06537,,$1.35,,,R.L. Stine,FALSE
Here Comes the Shaggedy,FALSE,Stine,R.L.,Goosebumps Most Wanted,,Paper,YA/Nostalgia,Good,11/1/2025,eBay,dua123cars,25-13756-06537,,$1.35,,,R.L. Stine,FALSE
Beware the Snowman,FALSE,Stine,R.L.,Goosebumps,51,Paper,YA/Nostalgia,Good,11/1/2025,eBay,dua123cars,25-13756-06537,,$1.35,,,R.L. Stine,FALSE
Monster Blood II,FALSE,Stine,R.L.,Goosebumps,18,Paper,YA/Nostalgia,Good,11/1/2025,eBay,dua123cars,25-13756-06537,,$1.35,,,R.L. Stine,FALSE
The Scarecrow Walks at Midnight,FALSE,Stine,R.L.,Goosebumps,20,Paper,YA/Nostalgia,Good,11/1/2025,eBay,dua123cars,25-13756-06537,,$1.35,,,R.L. Stine,FALSE
Monster Blood,FALSE,Stine,R.L.,Goosebumps,3,Paper,YA/Nostalgia,Acceptable,11/1/2025,eBay,dua123cars,25-13756-06537,,$1.35,,,R.L. Stine,FALSE
The Beast,FALSE,Stine,R.L.,,,Paper,YA/Nostalgia,Acceptable,11/1/2025,eBay,dua123cars,25-13756-06537,,$1.35,,,R.L. Stine,FALSE
Triple Header Book 1,FALSE,Stine,R.L.,Goosebumps Triple Header,1,Paper,YA/Nostalgia,Acceptable,11/1/2025,eBay,dua123cars,25-13756-06537,,$1.35,,,R.L. Stine,FALSE
Stay Away from the Tree House,TRUE,Stine,R.L.,Ghosts of Fear Street,5,Paper,YA/Nostalgia,Good,11/1/2025,eBay,dua123cars,25-13756-06537,,$1.35,,,R.L. Stine,FALSE
Don't Forget Me,TRUE,Stine,R.L.,The Nightmare Room,1,Paper,YA/Nostalgia,Very Good,11/1/2025,eBay,dua123cars,25-13756-06537,,$1.35,,,R.L. Stine,FALSE
The Streets of Panic Park,FALSE,Stine,R.L.,Goosebumps Horrorland,12,Paper,YA/Nostalgia,Good,11/1/2025,eBay,dua123cars,25-13756-06537,,$1.35,,,R.L. Stine,FALSE
The Scarecrow Walks at Midnight,FALSE,Stine,R.L.,Goosebumps,20,Paper,YA/Nostalgia,Very Good,11/1/2025,eBay,molly1014,10-13776-97362,,$1.47,,,R.L. Stine,FALSE
The Knight in Screaming Armor,FALSE,Stine,R.L.,Give Yourself Goosebumps,9,Paper,YA/Nostalgia,Acceptable,11/1/2025,eBay,molly1014,10-13776-97362,,$1.47,,,R.L. Stine,FALSE
Invasion of the Body Squeezers Pt. 1,FALSE,Stine,R.L.,Goosebumps Series 2000,4,Paper,YA/Nostalgia,Acceptable,11/1/2025,eBay,molly1014,10-13776-97362,,$1.47,,,R.L. Stine,FALSE
The Ooze,FALSE,Stine,R.L.,Ghosts of Fear Street,8,Paper,YA/Nostalgia,Good,11/1/2025,eBay,molly1014,10-13776-97362,,$1.47,,,R.L. Stine,FALSE
Escape from the Carnival of Horrors,FALSE,Stine,R.L.,Give Yourself Goosebumps,1,Paper,YA/Nostalgia,Very Good,11/1/2025,eBay,molly1014,10-13776-97362,,$1.47,,,R.L. Stine,FALSE
One Day at Horrorland,TRUE,Stine,R.L.,Classic Goosebumps,16,Paper,YA/Nostalgia,Very Good,11/1/2025,eBay,molly1014,10-13776-97362,,$1.47,,,R.L. Stine,FALSE
Fright Christmas,FALSE,Stine,R.L.,Ghosts of Fear Street,15,Paper,YA/Nostalgia,Good,11/1/2025,eBay,molly1014,10-13776-97362,,$1.47,,,R.L. Stine,FALSE
The Barking Ghost,FALSE,Stine,R.L.,Goosebumps,32,Paper,YA/Nostalgia,Acceptable,11/1/2025,eBay,molly1014,10-13776-97362,,$1.47,,,R.L. Stine,FALSE
Bad Hare Day,FALSE,Stine,R.L.,Goosebumps,41,Paper,YA/Nostalgia,Acceptable,11/1/2025,eBay,molly1014,10-13776-97362,,$1.47,,,R.L. Stine,FALSE
Monster Blood II,TRUE,Stine,R.L.,Goosebumps,18,Paper,YA/Nostalgia,Acceptable,11/1/2025,eBay,molly1014,10-13776-97362,,$1.47,,,R.L. Stine,FALSE
Field of Screams,FALSE,Stine,R.L.,Ghosts of Fear Street,22,Paper,YA/Nostalgia,Good,11/1/2025,eBay,molly1014,10-13776-97362,,$1.47,,,R.L. Stine,FALSE
Stay Out of the Basement,FALSE,Stine,R.L.,Classic Goosebumps,2,Paper,YA/Nostalgia,Good,11/1/2025,eBay,molly1014,10-13776-97362,,$1.47,,,R.L. Stine,FALSE
Don't ever get sick at Granny's,FALSE,Stine,R.L.,Ghosts of Fear Street,16,Paper,YA/Nostalgia,Good,11/1/2025,eBay,molly1014,10-13776-97362,,$1.47,,,R.L. Stine,FALSE
The Dark,FALSE,Herbert,James,,,Paper,PFH/Vintage,Good,11/3/2025,eBay,speechlesstrader,01-13798-06187,$10.79,$3.14,,,James Herbert,FALSE
For the Love of Audrey Rose,FALSE,DeFelitta,Frank,,,Paper,PFH/Vintage,Acceptable,11/3/2025,eBay,speechlesstrader,01-13798-06187,$5.29,$3.14,,,Frank DeFelitta,FALSE
The Skin Trade,FALSE,King,Stephen,,,Paper,PFH/Vintage,Acceptable,11/3/2025,eBay,speechlesstrader,01-13798-06187,$5.49,$3.14,,,Stephen King,FALSE
Comes the Blind Fury,TRUE,Saul,John,,,Paper,PFH/Vintage,Good,11/3/2025,eBay,speechlesstrader,01-13798-06187,$4.79,$3.14,,,John Saul,FALSE
Offerings,FALSE,Minton,T.M.,,,Paper,PFH/Vintage,Acceptable,11/3/2025,eBay,speechlesstrader,01-13798-06187,$12.00,$3.14,,,T.M. Minton,FALSE
The Crib,FALSE,Kent,Paul,,,Paper,PFH/Vintage,Acceptable,11/3/2025,eBay,speechlesstrader,01-13798-06187,$10.99,$3.14,,,Paul Kent,FALSE
The Jonah,FALSE,Herbert,James,,,Paper,PFH/Vintage,Good,11/3/2025,eBay,speechlesstrader,01-13798-06187,$7.59,$3.14,,,James Herbert,FALSE
Fears,FALSE,Grant,Charles L.,,,Paper,PFH/Vintage,Acceptable,11/3/2025,eBay,speechlesstrader,01-13798-06187,$15.00,$3.14,,,Charles L. Grant,FALSE
Prodigal Son,TRUE,Koontz,Dean R.,Frankenstein,1,Paper,Mainstream,Good,11/1/2025,eBay,rrrrandyresells,04-13786-69652,$4.69,$1.60,,,Dean R. Koontz,FALSE
City of Night,TRUE,Koontz,Dean R.,Frankenstein,2,Paper,Mainstream,Good,11/1/2025,eBay,rrrrandyresells,04-13786-69652,$4.69,$1.60,,,Dean R. Koontz,FALSE
The House of Thunder,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Good,11/1/2025,eBay,rrrrandyresells,04-13786-69652,$4.59,$1.60,,,Dean R. Koontz,FALSE
The Funhouse,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Good,11/1/2025,eBay,rrrrandyresells,04-13786-69652,$7.39,$1.60,,,Dean R. Koontz,FALSE
Shattered,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Good,11/1/2025,eBay,rrrrandyresells,04-13786-69652,$5.19,$1.60,,,Dean R. Koontz,FALSE
Ticktock,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Acceptable,11/1/2025,eBay,rrrrandyresells,04-13786-69652,$6.29,$1.60,,,Dean R. Koontz,FALSE
The Collector,TRUE,Alexander,K.R.,,,Paper,YA/Nostalgia,Very Good,11/22/2025,Bookstore,Goodwill,GW-25-11-22-BS,,$0.97,,,K.R. Alexander,FALSE
Icebound,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Acceptable,11/1/2025,eBay,rrrrandyresells,04-13786-69652,$4.39,$1.60,,,Dean R. Koontz,FALSE
The Door to December,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Acceptable,11/1/2025,eBay,rrrrandyresells,04-13786-69652,$3.79,$1.60,,,Dean R. Koontz,FALSE
Strangers,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Acceptable,11/1/2025,eBay,rrrrandyresells,04-13786-69652,$6.29,$1.60,,,Dean R. Koontz,FALSE
The Last Kids on Earth and the Monster Dimension,TRUE,Braller,Max,,,Hard,YA/Nostalgia,Like New,11/22/2025,Bookstore,Goodwill,GW-25-11-22-BS,,$0.97,,,Max Braller,FALSE
Suffer the Children,TRUE,Saul,John,,,Paper,PFH/Vintage,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,John Saul,FALSE
The Right Hand of Evil,TRUE,Saul,John,,,Paper,Mainstream,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,John Saul,FALSE
Shadows,TRUE,Saul,John,,,Paper,PFH/Vintage,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,John Saul,FALSE
In the Dark of Night,TRUE,Saul,John,,,Paper,Mainstream,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,John Saul,FALSE
The God Project,TRUE,Saul,John,,,Paper,PFH/Vintage,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,John Saul,FALSE
